observation_id|report_type|date_time|date_time_meaning|latitude|longitude|observation_height_above_station_surface|observed_variable|units|observation_value|value_significance|observation_duration|platform_type|station_type|primary_station_id|station_name|quality_flag|data_policy_licence|source_id 
AG000060590-3-1894-04-85-2|2|1894-04-01 00:00:00+00|1|30.5667|2.8667|2|85|005|293.37|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
AG000060590-3-1894-04-44-13|2|1894-04-01 00:00:00+00|1|30.5667|2.8667|1|44|710|0.0|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-05-85-0|2|1894-05-01 00:00:00+00|1|30.5667|2.8667|2|85|005|310.28|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-05-85-1|2|1894-05-01 00:00:00+00|1|30.5667|2.8667|2|85|005|290.24|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-05-85-2|2|1894-05-01 00:00:00+00|1|30.5667|2.8667|2|85|005|300.26|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
AG000060590-3-1894-05-44-13|2|1894-05-01 00:00:00+00|1|30.5667|2.8667|1|44|710|0.0|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-06-85-0|2|1894-06-01 00:00:00+00|1|30.5667|2.8667|2|85|005|314.02|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-06-85-1|2|1894-06-01 00:00:00+00|1|30.5667|2.8667|2|85|005|294.45|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-06-85-2|2|1894-06-01 00:00:00+00|1|30.5667|2.8667|2|85|005|304.24|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
AG000060590-3-1894-06-44-13|2|1894-06-01 00:00:00+00|1|30.5667|2.8667|1|44|710|0.0|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-07-85-0|2|1894-07-01 00:00:00+00|1|30.5667|2.8667|2|85|005|316.62|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-07-85-1|2|1894-07-01 00:00:00+00|1|30.5667|2.8667|2|85|005|297.74|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-07-85-2|2|1894-07-01 00:00:00+00|1|30.5667|2.8667|2|85|005|307.18|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
AG000060590-3-1894-07-44-13|2|1894-07-01 00:00:00+00|1|30.5667|2.8667|1|44|710|1.0|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-08-85-0|2|1894-08-01 00:00:00+00|1|30.5667|2.8667|2|85|005|316.07|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-08-85-1|2|1894-08-01 00:00:00+00|1|30.5667|2.8667|2|85|005|294.86|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-08-85-2|2|1894-08-01 00:00:00+00|1|30.5667|2.8667|2|85|005|305.46|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
AG000060590-3-1894-08-44-13|2|1894-08-01 00:00:00+00|1|30.5667|2.8667|1|44|710|0.0|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-09-85-0|2|1894-09-01 00:00:00+00|1|30.5667|2.8667|2|85|005|314.98|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-09-85-1|2|1894-09-01 00:00:00+00|1|30.5667|2.8667|2|85|005|293.62|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-09-85-2|2|1894-09-01 00:00:00+00|1|30.5667|2.8667|2|85|005|304.30|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
AG000060590-3-1894-09-44-13|2|1894-09-01 00:00:00+00|1|30.5667|2.8667|1|44|710|0.0|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-10-85-0|2|1894-10-01 00:00:00+00|1|30.5667|2.8667|2|85|005|307.98|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-10-85-1|2|1894-10-01 00:00:00+00|1|30.5667|2.8667|2|85|005|287.56|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-10-85-2|2|1894-10-01 00:00:00+00|1|30.5667|2.8667|2|85|005|297.77|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
AG000060590-3-1894-10-44-13|2|1894-10-01 00:00:00+00|1|30.5667|2.8667|1|44|710|0.0|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-11-85-1|2|1894-11-01 00:00:00+00|1|30.5667|2.8667|2|85|005|281.39|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-11-44-13|2|1894-11-01 00:00:00+00|1|30.5667|2.8667|1|44|710|0.3|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-12-85-1|2|1894-12-01 00:00:00+00|1|30.5667|2.8667|2|85|005|275.34|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-12-44-13|2|1894-12-01 00:00:00+00|1|30.5667|2.8667|1|44|710|14.6|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1895-01-85-0|2|1895-01-01 00:00:00+00|1|30.5667|2.8667|2|85|005|291.80|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1895-01-85-1|2|1895-01-01 00:00:00+00|1|30.5667|2.8667|2|85|005|273.91|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1895-01-85-2|2|1895-01-01 00:00:00+00|1|30.5667|2.8667|2|85|005|282.85|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
AG000060590-3-1895-01-44-13|2|1895-01-01 00:00:00+00|1|30.5667|2.8667|1|44|710|0.0|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1895-02-85-0|2|1895-02-01 00:00:00+00|1|30.5667|2.8667|2|85|005|299.36|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1895-02-85-1|2|1895-02-01 00:00:00+00|1|30.5667|2.8667|2|85|005|280.89|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1895-02-85-2|2|1895-02-01 00:00:00+00|1|30.5667|2.8667|2|85|005|290.13|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
AG000060590-3-1895-02-44-13|2|1895-02-01 00:00:00+00|1|30.5667|2.8667|1|44|710|2.8|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1895-03-85-1|2|1895-03-01 00:00:00+00|1|30.5667|2.8667|2|85|005|279.58|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1895-03-44-13|2|1895-03-01 00:00:00+00|1|30.5667|2.8667|1|44|710|0.3|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1895-04-85-0|2|1895-04-01 00:00:00+00|1|30.5667|2.8667|2|85|005|307.59|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1895-04-85-1|2|1895-04-01 00:00:00+00|1|30.5667|2.8667|2|85|005|286.52|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1895-04-85-2|2|1895-04-01 00:00:00+00|1|30.5667|2.8667|2|85|005|297.05|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
AG000060590-3-1895-04-44-13|2|1895-04-01 00:00:00+00|1|30.5667|2.8667|1|44|710|0.0|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1895-05-85-0|2|1895-05-01 00:00:00+00|1|30.5667|2.8667|2|85|005|306.88|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
